product_id,product_name,product_sales
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.62
OFF-LA-10003388,Avery 5,5.76
OFF-PA-10000048,Xerox 20,6.48
OFF-EN-10001535,Grip Seal Envelopes,7.07
OFF-AR-10003986,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,7.7
OFF-PA-10003919,Xerox 1989,7.97
OFF-AR-10003477,4009 Highlighters,8.04
OFF-FA-10001754,Stockwell Gold Paper Clips,8.1
OFF-AR-10004272,Newell 308,8.4
OFF-LA-10002473,Avery 484,9.22
OFF-SU-10001212,Kleencut Forged Office Shears by Acme United Corporation,9.57
TEC-PH-10004875,PNY Rapid USB Car Charger - Black,9.59
OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,9.76
OFF-AR-10004974,Newell 342,9.84
OFF-AR-10004707,Staples in misc. colors,9.92
OFF-SU-10003002,Letter Slitter,10.08
OFF-AR-10003958,Newell 337,10.5
OFF-BI-10000831,Storex Flexible Poly Binders with Double Pockets,10.83
OFF-BI-10003784,Computer Printout Index Tabs,11.08
OFF-BI-10000494,Acco Economy Flexible Poly Round Ring Binder,11.48
